group,method,path,console_page_or_component,purpose,source_of_truth,consistency,current_status,priority,current_endpoint_or_basis,gap_or_required_change
foundation,GET,/health,All,Process liveness,Process,live,EXISTING,P0,GET /health,
foundation,GET,/ready,All,Dependency and frozen-contract readiness,PG+CH+Contract Registry,probe-time,EXISTING,P0,GET /ready,
context,GET,/v1/context/options,Overview Context Bar,"Return compatible Candidate, Baseline, Dataset, Profile, Run and filter options in one cached response",PG registry + CH summaries,current registry + projected labels,NEW,P0,,Required to populate selectors without client-side discovery.
context,GET,/v1/catalogs/evaluation,Metrics/Drawers,"Return M1-M15, five dimensions, HG1-HG7, F1-F7, levels, readiness and score-status definitions",Frozen Contract Registry/PG registry,versioned immutable,NEW,P0,,"Frontend must not hard-code weights, labels and rule versions."
context,GET,/v1/candidates,Candidate selector / Analytics,List registered CandidateSnapshot identities and latest run summary,PG registry + CH candidate summary,PG identity + projected analytics,NEW,P1,,Current analytics-candidates only returns rows that already have projected summaries.
context,GET,/v1/candidates/{candidateSnapshotId},Candidate detail,Get exact immutable CandidateSnapshot and provenance,PG registry,transactional/current,NEW,P1,,
context,GET,/v1/datasets,Dataset selector / Cases,"List Dataset versions, splits, case counts and lifecycle status",PG registry,transactional/current,NEW,P1,,
context,GET,/v1/datasets/{datasetVersionRef},Dataset detail,Get exact DatasetVersion metadata and coverage summary,PG registry,transactional/current,NEW,P1,,
context,GET,/v1/evaluation-profiles,Profile selector / Metrics,List exact profile versions and formalization status,PG registry + frozen contracts,transactional/current,NEW,P1,,
context,GET,/v1/evaluation-profiles/{profileVersionId},Profile detail,"Get profile weights, required evaluator types and rule-set refs",PG registry + frozen contracts,versioned immutable,NEW,P1,,
system,GET,/v1/system/status,Overview System Status / Settings,"Unified evaluation-trust status: Evidence ingestion freshness, domain projection, evaluation workers, mart projection, schema/contracts/profile/dataset",PG+CH+derived freshness,single probe snapshot,NEW,P0,,/ready is dependency-oriented and not shaped for the dashboard status panel.
system,GET,/v1/system/contracts,Settings,List active contract releases and drift/preflight state,Contract Registry + PG + CH meta,versioned/current,NEW,P1,,
system,GET,/v1/system/projections,Settings / Anomalies,"Projection checkpoint, lag, DLQ and conflict status",PG ops + CH projection metadata,current/near-real-time,NEW,P1,,
overview,GET,/v1/dashboard/overview,Overview,Return one consistent full-page Quality Command Center snapshot,CH analytics + PG context + deterministic analysis,single pinned watermark snapshot,NEW,P0,,Core missing endpoint. Must include all sections in the high-fidelity Overview contract.
overview,GET,/v1/analysis-conclusions,Overview / Reports,List deterministic/statistical conclusions with verifiable case/evaluation/evidence refs,Derived from CH comparison/evaluation facts,pinned watermark,NEW,P0,,Initial nine conclusion rules must be implemented; no free-form ungrounded AI result.
overview,GET,/v1/analysis-conclusions/{conclusionId},Conclusion drawer,"Return conclusion impact, derivation, supporting metrics and drill-down refs",Derived snapshot or persisted analysis record,snapshot-consistent,NEW,P1,,
overview,GET,/v1/attention-items,Overview / Alerts,List ordered Fatal/HG/Critical/NR/Regression/Stability/Projection attention items,Derived CH facts + optional PG workflow,snapshot-consistent,NEW,P0,,Read-only derivation is enough for P0; lifecycle status needs PG persistence.
overview,GET,/v1/attention-items/{attentionId},Attention drawer,Get full attention item and linked objects,Derived/PG,current,NEW,P1,,
overview,PATCH,/v1/attention-items/{attentionId},Alerts,Update open/investigating/resolved/ignored workflow state,PG authority,transactional/current,NEW,P2,,Requires new PG attention-item lifecycle tables; not required for read-only prototype.
overview,GET,/v1/anomalies,Overview / Alerts,"List New Fatal, New HG, NR, projection lag, run completion and positive change events",Derived CH+PG events,watermarked,NEW,P0,,
explorer,GET,/v1/case-results,Case drawer / Regression Explorer,Unified paged case-result explorer with cross filters and baseline/candidate deltas,CH case/comparison/evaluation views,watermarked,NEW,P0,,"Supports track,risk,scenario,metric,gate,fatal,readiness,changeType,funnelStage,contributor,search,sort."
commands,POST,/v1/operational-evaluations,Evaluation command,Queue exact sealed-manifest operational evaluation,PG authority,transactional/current,EXISTING,P0,POST /v1/operational-evaluations,
runs,POST,/v1/benchmark-runs,Run create,Create benchmark run from exact immutable refs,PG authority,transactional/current,EXISTING,P0,POST /v1/benchmark-runs,
runs,GET,/v1/benchmark-runs,Runs / Context Bar,"List runs with Candidate, Dataset, Profile, counts, status and timestamps",PG authority for active + CH projection for completed metrics,mixed explicit,NEW,P0,,Current API only supports POST collection and GET by exact runId.
runs,GET,/v1/benchmark-runs/{runId},Run status,Get authoritative run state,PG authority,transactional/current,EXISTING,P0,GET /v1/benchmark-runs/{runId},
runs,POST,/v1/benchmark-runs/{runId}/cancel,Run command,Request cancellation,PG authority,transactional/current,EXISTING,P0,POST /v1/benchmark-runs/{runId}/cancel,
runs,GET,/v1/benchmark-runs/{runId}/dashboard,Run Detail,"Consistent Run Detail snapshot: quality, verdict, tracks, dimensions, metrics, funnel, stability and recent events",CH analytics + PG authority metadata,single pinned watermark,NEW,P1,,
runs,GET,/v1/benchmark-runs/{runId}/results,Run Detail,Paged case aggregates,CH projection,watermarked,EXTEND,P1,GET /v1/benchmark-runs/{runId}/results,"Add filters, sorting, evaluation/bundle refs and typed response schema."
runs,GET,/v1/benchmark-runs/{runId}/cases,Run Detail / Case Matrix,Paged case executions,CH projection,watermarked,EXTEND,P0,GET /v1/benchmark-runs/{runId}/cases,Add track/risk/scenario/change/readiness filters and baseline/candidate columns.
runs,GET,/v1/benchmark-runs/{runId}/failures,Run Detail / Attention,Paged failed/invalid/NR cases,CH projection,watermarked,EXTEND,P0,GET /v1/benchmark-runs/{runId}/failures,Add gate/fatal/missing-evidence/reason filters and evaluation refs.
runs,GET,/v1/benchmark-runs/{runId}/release-gate,Overview / Run Detail,Release decision and blockers,CH projection,watermarked,EXTEND,P0,GET /v1/benchmark-runs/{runId}/release-gate,"Current summary lacks typed blocker items, critical-risk failures and change-vs-baseline detail."
runs,GET,/v1/benchmark-runs/{runId}/repetitions,Run Detail / Stability,List repetition-level execution/evaluation states,PG+CH,mixed explicit,NEW,P1,,
